home_team,away_team,P_home_win,P_draw,P_away_win
Watford,Leicester,0.1992,0.203,0.5978
Watford,Liverpool,0.0349,0.095,0.8698
Watford,Man City,0.0205,0.0767,0.9024
Watford,Man United,0.2038,0.2111,0.5851
Watford,Newcastle,0.2588,0.2409,0.5003
Watford,Norwich,0.4851,0.2398,0.2751
Watford,Southampton,0.3125,0.2328,0.4548
Watford,Tottenham,0.0908,0.1631,0.746
Watford,West Ham,0.1648,0.1983,0.6369
Watford,Wolves,0.1902,0.2529,0.557
West Ham,Arsenal,0.3735,0.2523,0.3742
West Ham,Aston Villa,0.4605,0.2421,0.2974
West Ham,Brentford,0.528,0.2307,0.2413
West Ham,Brighton,0.4499,0.2658,0.2843
West Ham,Burnley,0.59,0.2406,0.1694
West Ham,Chelsea,0.2721,0.2301,0.4978
West Ham,Crystal Palace,0.43,0.2541,0.3158
West Ham,Everton,0.6104,0.2093,0.1803
West Ham,Leeds,0.6429,0.1959,0.1612
West Ham,Leicester,0.4475,0.2293,0.3233
West Ham,Liverpool,0.1645,0.1876,0.6479
West Ham,Man City,0.1295,0.173,0.6975
West Ham,Man United,0.4605,0.2342,0.3053
West Ham,Newcastle,0.5461,0.2351,0.2189
West Ham,Norwich,0.7704,0.1576,0.072
West Ham,Southampton,0.592,0.2117,0.1963
West Ham,Tottenham,0.2956,0.2395,0.4649
West Ham,Watford,0.6899,0.1814,0.1287
West Ham,Wolves,0.4869,0.2711,0.2419
Wolves,Arsenal,0.2538,0.2967,0.4495
Wolves,Aston Villa,0.3503,0.2946,0.3551
Wolves,Brentford,0.4266,0.2878,0.2856
Wolves,Brighton,0.323,0.3375,0.3395
Wolves,Burnley,0.483,0.3258,0.1912
Wolves,Chelsea,0.1629,0.2462,0.5909
Wolves,Crystal Palace,0.3109,0.3105,0.3786
Wolves,Everton,0.5236,0.2672,0.2093
Wolves,Leeds,0.5644,0.2497,0.1858
Wolves,Leicester,0.345,0.2699,0.3851
Wolves,Liverpool,0.0767,0.1745,0.7488
Wolves,Man City,0.0487,0.1511,0.8001
Wolves,Man United,0.3553,0.2806,0.3641
Wolves,Newcastle,0.4422,0.3007,0.2571
Wolves,Norwich,0.7164,0.2134,0.0702
Wolves,Southampton,0.5033,0.267,0.2296
Wolves,Tottenham,0.1814,0.2636,0.555
Wolves,Watford,0.6205,0.2347,0.1447
Wolves,West Ham,0.298,0.2796,0.4224
